number,link,name,rating,features,price,image,
"1","www.flipkart.com/sony-zv-e10l-mirrorless-camera-interchangeable-lens-vlog/p/itmaad9258ddded5?pid=DLLG6G8U8P2NGEHG&lid=LSTDLLG6G8U8P2NGEHGGVZNLB&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=bbafe467-4908-44bc-ab96-b8bf004d3c33.DLLG6G8U8P2NGEHG.SEARCH&ppt=None&ppn=None&ssid=61t136rd400000001668445256902&qH=dd6d2dcc679d12b9","SONY ZV-E10L Mirrorless Camera Interchangeable-lens Vlog Camera","4.4","['Effective Pixels: 24.2 MP', 'Sensor Type: CMOS', 'WiFi Available', '4k', '2 Year Warranty']","₹62,990","https://rukminim1.flixcart.com/image/312/312/ktlu9ow0/dslr-camera/r/y/j/alpha-zv-e10-24-2-megapixel-with-interchangeable-lens-aps-c-original-imag6wxxhxrv9htc.jpeg?q=70",
"2","www.flipkart.com/canon-eos-3000d-dslr-camera-1-body-18-55-mm-lens/p/itm6f665fea97bc2?pid=CAMF3DHJURPEMNRN&lid=LSTCAMF3DHJURPEMNRN8AVERV&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=bbafe467-4908-44bc-ab96-b8bf004d3c33.CAMF3DHJURPEMNRN.SEARCH&ppt=None&ppn=None&ssid=61t136rd400000001668445256902&qH=dd6d2dcc679d12b9","Canon EOS 3000D DSLR Camera 1 Camera Body, 18 - 55 mm Lens","4.4","['Self-Timer | Type C and Mini HDMI, |9 Auto Focus Points | 35x Optical Zoom., Effective Pixels: 18 MP APS-C CMOS sensor-which is 25 times larger than a typical Smartphone sensor., WiFi | Full HD | Video Recording at 1080 p on 30fps.', 'Effective Pixels: 18 MP', 'Sensor Type: CMOS', 'WiFi Available', 'Full HD', '2 Year Warranty (1 year standard warranty + 1 year additional warranty from the date of purchase made by the customer.)']","₹31,499","https://rukminim1.flixcart.com/image/312/312/jfbfde80/camera/n/r/n/canon-eos-eos-3000d-dslr-original-imaf3t5h9yuyc5zu.jpeg?q=70",
"3","www.flipkart.com/sony-ilce-6100y-b-in5-mirrorless-camera-16-50-mm-55-210-zoom-lenses/p/itm1854efdff5416?pid=CAMFM67HGGZDDXUE&lid=LSTCAMFM67HGGZDDXUEIVVMZ7&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=bbafe467-4908-44bc-ab96-b8bf004d3c33.CAMFM67HGGZDDXUE.SEARCH&ppt=None&ppn=None&ssid=61t136rd400000001668445256902&qH=dd6d2dcc679d12b9","SONY ILCE-6100Y/B IN5 Mirrorless Camera with 16-50 mm & 55-210 mm Zoom Lenses","4.7","['Effective Pixels: 24.2 MP', 'Sensor Type: CMOS', 'WiFi Available', 'UHD 4K', '2 Year Warranty']","₹78,990","https://rukminim1.flixcart.com/image/312/312/k3q76a80/camera/x/u/e/sony-apsc-ilce-6100y-b-in5-mirrorless-original-imafm6msr4fghzfw.jpeg?q=70",
"3","www.flipkart.com/sony-ilce-6100y-b-in5-mirrorless-camera-16-50-mm-55-210-zoom-lenses/p/itm1854efdff5416?pid=CAMFM67HGGZDDXUE&lid=LSTCAMFM67HGGZDDXUEIVVMZ7&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=bbafe467-4908-44bc-ab96-b8bf004d3c33.CAMFM67HGGZDDXUE.SEARCH&ppt=None&ppn=None&ssid=61t136rd400000001668445256902&qH=dd6d2dcc679d12b9","SONY ILCE-6100Y/B IN5 Mirrorless Camera with 16-50 mm & 55-210 mm Zoom Lenses","4.7","['Effective Pixels: 24.2 MP', 'Sensor Type: CMOS', 'WiFi Available', 'UHD 4K', '2 Year Warranty']","₹78,990","https://rukminim1.flixcart.com/image/312/312/k3q76a80/camera/x/u/e/sony-apsc-ilce-6100y-b-in5-mirrorless-original-imafm6msr4fghzfw.jpeg?q=70",
"5","www.flipkart.com/sony-alpha-ilce-6400l-mirrorless-camera-16-50mm-power-zoom-lens/p/itm886012303563a?pid=DLLFDJ9DFXVAZDTS&lid=LSTDLLFDJ9DFXVAZDTSQXJEDS&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=bbafe467-4908-44bc-ab96-b8bf004d3c33.DLLFDJ9DFXVAZDTS.SEARCH&ppt=None&ppn=None&ssid=61t136rd400000001668445256902&qH=dd6d2dcc679d12b9","SONY Alpha ILCE-6400L Mirrorless Camera with 16-50mm Power Zoom Lens","4.7","['Effective Pixels: 24.2 MP', 'Sensor Type: CMOS', 'WiFi Available', 'NTSC/PAL', '2 Year Warranty']","₹82,990","https://rukminim1.flixcart.com/image/312/312/kw9krrk0/dslr-camera/1/h/j/-original-imag8z5weagzztda.jpeg?q=70",
"6","www.flipkart.com/canon-eos-m50-mark-ii-mirrorless-camera-ef-m15-45mm-stm-lens/p/itm7a4f536cb1255?pid=DLLGFY7XYG8YFMQT&lid=LSTDLLGFY7XYG8YFMQTSG43XC&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=bbafe467-4908-44bc-ab96-b8bf004d3c33.DLLGFY7XYG8YFMQT.SEARCH&ppt=None&ppn=None&ssid=61t136rd400000001668445256902&qH=dd6d2dcc679d12b9","Canon EOS M50 Mark II Mirrorless Camera EF-M15-45mm is STM Lens","4.4","['Effective Pixels: 24.1 MP', 'Sensor Type: CMOS', 'WiFi Available', 'MP4', '2 Year Warranty (1 year standard warranty + 1 year additional warranty from the date of purchase made by the customer.)']","₹57,890","https://rukminim1.flixcart.com/image/312/312/knyxqq80/dslr-camera/r/y/x/digital-camera-eos-m50-mark-ii-eos-m50-mark-ii-canon-original-imag2gzkexzqhyhu.jpeg?q=70",
"7","www.flipkart.com/canon-eos-1500d-dslr-camera-body-18-55-mm-ii-lens/p/itm033175ceb4ddd?pid=DLLFAEWE22ZAERXG&lid=LSTDLLFAEWE22ZAERXGAHOJFJ&marketplace=FLIPKART&q=camera&store=jek%2Fp31&spotlightTagId=BestsellerId_jek%2Fp31&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=bbafe467-4908-44bc-ab96-b8bf004d3c33.DLLFAEWE22ZAERXG.SEARCH&ppt=None&ppn=None&ssid=61t136rd400000001668445256902&qH=dd6d2dcc679d12b9","Canon EOS 1500D DSLR Camera Body+ 18-55 mm IS II Lens","4.5","['Effective Pixels: 24.1 MP', 'Sensor Type: CMOS', 'WiFi Available', '1080p recording at 30p', '2 Year Warranty (1 year standard warranty + 1 year additional warranty from the date of purchase made by the customer.)']","₹38,559","https://rukminim1.flixcart.com/image/312/312/kk01pjk0/dslr-camera/f/v/o/eos-1500d-canon-original-imafzfugydh2mjgf.jpeg?q=70",
"8","www.flipkart.com/sro-6-wireless-home-security-surveillance-cameras-night-vision-motion-detection-sports-action-camera/p/itm5fa7e0a3f256d?pid=SAYGBZ77BTBPXMFK&lid=LSTSAYGBZ77BTBPXMFKEH9C2M&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=bbafe467-4908-44bc-ab96-b8bf004d3c33.SAYGBZ77BTBPXMFK.SEARCH&ppt=None&ppn=None&ssid=61t136rd400000001668445256902&qH=dd6d2dcc679d12b9","SrO 6 Wireless Home Security Surveillance Cameras with Night Vision_ Motion Detection Sports and Actio...","3.9","['Effective Pixels: 1080 MP', 'HD', 'NA']","₹930","https://rukminim1.flixcart.com/image/312/312/kvvad8w0/sports-action-camera/k/x/f/spy-magnet-camera-wifi-hidden-camera-wireless-hd-1080p-indoor-original-imafxeen9r3zepwy.jpeg?q=70",
"9","www.flipkart.com/canon-eos-200d-ii-dslr-camera-ef-s18-55mm-stm/p/itm5d6e44f7fd976?pid=DLLFFNVDYGQN9XCS&lid=LSTDLLFFNVDYGQN9XCSYTRJDH&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=bbafe467-4908-44bc-ab96-b8bf004d3c33.DLLFFNVDYGQN9XCS.SEARCH&ppt=None&ppn=None&ssid=61t136rd400000001668445256902&qH=dd6d2dcc679d12b9","Canon EOS 200D II DSLR Camera EF-S18-55mm IS STM","4.5","['Effective Pixels: 24.1 MP', 'Sensor Type: CMOS', 'WiFi Available', 'Full HD', '2 Year Warranty (1 year standard warranty + 1 year additional warranty from the date of purchase made by the customer.)']","₹56,490","https://rukminim1.flixcart.com/image/312/312/juwzf680/dslr-camera/g/a/q/200d-ii-200d-ii-canon-original-imaffvrhzyqzayys.jpeg?q=70",
"9","www.flipkart.com/canon-eos-200d-ii-dslr-camera-ef-s18-55mm-stm/p/itm5d6e44f7fd976?pid=DLLFFNVDYGQN9XCS&lid=LSTDLLFFNVDYGQN9XCSYTRJDH&marketplace=FLIPKART&q=camera&store=jek%2Fp31&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=bbafe467-4908-44bc-ab96-b8bf004d3c33.DLLFFNVDYGQN9XCS.SEARCH&ppt=None&ppn=None&ssid=61t136rd400000001668445256902&qH=dd6d2dcc679d12b9","Canon EOS 200D II DSLR Camera EF-S18-55mm IS STM","4.5","['Effective Pixels: 24.1 MP', 'Sensor Type: CMOS', 'WiFi Available', 'Full HD', '2 Year Warranty (1 year standard warranty + 1 year additional warranty from the date of purchase made by the customer.)']","₹56,490","https://rukminim1.flixcart.com/image/312/312/juwzf680/dslr-camera/g/a/q/200d-ii-200d-ii-canon-original-imaffvrhzyqzayys.jpeg?q=70",
